,movieName,movieYear,songName,songSinger,songMusic,songLyricist,songLyrics
0,1920,2008,Tujhe Main Pyar Karu,Kailash Kher,Adnan Sami,Sameer,"Tujhe main pyar karoon
Aur itna pyar karoon
Tujhe main pyar karoon
Aur itna pyar karoon
Ke jab talak main jiyoon
Sirf tera intezar karoon
Tujhe main pyar karoon
Aur itna pyar karoon

Dilon ki baat nahi jaante
Yeh sab zubaan waale
Wafaa ko jurm samajhte hain
Yeh sab jahaan waale
Agar yeh jurm hai
To yeh jurm baar baar karoon
Ke jab talak main jiyoon
Tera intezar karoon

Tujhe main pyar karoon
Aur itna pyar karoon
Tujhe main pyar karoon
Aur itna pyar karoon
Ke jab talak main jiyoon
Sirf tera intezar karoon
Tujhe main pyar karoon
Aur itna pyar karoon

Teri khushi na ho shamil
To phir khushi kya hai?
Tere bagair jo guzare
Woh zindagi kya hai?
Kayi sadi main tere
Pyar pe nisaar karoon
Ke jab talak main jiyoon
Tera intezaar karoon

Tujhe main pyar karoon
Aur itna pyar karoon
Tujhe main pyar karoon
Aur itna pyar karoon
Ke jab talak main jiyoon
Sirf tera intezar karoon
Tujhe main pyar karoon
Aur itna pyar karoon

Ho... ho..
"
1,1920,2008,Aise Jalta Hai Jiya,Asha Bhosle,Adnan Sami,Sameer,"Aaja re, aaja re, aaja re, aa..
Aaja re, aaja re, aaja re, aa..

Haaye.. Aise jalta hai jiya jaise diya
Aise jalta hai jiya jaise diya..
Jee na sakoon ab
Main tanha hoon piya
Aise jalta hai jiya jaise diya..
Aise jalta hai jiya jaise diya..
Jee na sakoon ab
Main tanha hoon piya
Aise jalta hai jiya

Bechain mere man ka mayura
Lagta hai tanha jeevan adhoora
Tan mein lagi hai virha ki jwaala
Ab to pila de adhron ka pyala
Trishna pukaare meri sun bariya
Aise jalta hai jiya jaise diya..
Jee na sakoon ab
Main tanha hoon piya
Aise jalta hai jiya

Tu hai akela, main hoon akeli
Sooni padi hai saari haveli
Betaabion ka pal be-sabar hai
Ab hone wali jaldi saher hain
Doori mita de milke aa sathiya
Aise jalta hai jiya jaise diya..
Jee na sakoon ab
Main tanha hoon piya
Aise jalta hai jiya

Jiya.. jiya... jiya..
"
2,1920,2008,Vaada Tumse Hai Vaada,Pandit Jasraj,Adnan Sami,Sameer,"Vaada tumse hai vaada
Ho vaada tumse hai vaada
Janmon ka, pyaar ka..
Dard ka o.. sathiya 

Vaada tumse hai vaada
Ho vaada tumse hai vaada
Janmon ka, pyaar ka..
Dard ka o.. sathiya 

[Vaada.. vaada.. vaada.. vaada.. 
Vaada.. vaada.. vaada.. vaada..]

[Ga re ga re ga re ga.. ma.. 
Ga re ga re ga re ga.. ma.. 
Ga re ga re ga re ga.. ma.. 
Pa ni sa ni sa re sa re ga ma re ma pa..] x 2

Meri palkom mein
Tere sapnon ka dar hai aa..
Mere is dil mein
Teri chaahat ka ghar hai aa..
Mere rag-rag mein tu
Bas tera prem samaaya hai
Samaaya hai
Meri in saason mein
Ab teri saanson ki
Sargam bajti hai..

Vaada tumse hai vaada
Ho vaada tumse hai vaada
Janmon ka, pyaar ka..
Dard ka o.. sathiya 

Jeena bhala kya
Is duniya se dar ke..
Ho.. yun hi rakhunga
Baahon mein tujhko bharke
Aa.. tere sajde meri
Sar ko hamesha jjukaya hai
Jjukaya hai
Meri tasveeron pe
Bas teri rangon ki mala sajti hai..

Vaada tumse hai vaada
Ho vaada tumse hai vaada
Janmon ka, pyaar ka..
Dard ka o.. sathiya

Aa... aa... 
Vaada.. vaada.. vaada.. vaada..
Vaada.. vaada.. vaada.. vaada..
"
3,1920 - Evil Returns ,2012,Uska Hi Bana,Arijit Singh,Chirantan Bhatt,Manoj Yadav,"Meri qismat ke har ek panne pe
Mere jeete jee, baad marne ke
Mere har ek kal, har ek lamhe mein
Tu likh de mera use
Har kahani mein, saare kisson mein
Dil ki duniya ke, sachche rishton mein
Zindgaani ke saare hisson me
Tu likh de mera use
Aye Khuda, aye Khuda jab bana Uska hi bana
Aye Khuda, aye Khuda jab bana uska hi bana

Uska hoon, usmein hoon
Us-se hoon usi ka rehne de
Main to pyaasa hoon hai dariya wo
Zariya wo jeene ka mere
Mujhe ghar de, gali de, shehar de
Usi ke naam ke
Kadam yeh chalein ya rukein
Ab usi ke vaste
Dil mujhe de agar dard de uska par
Uski ho wo hansi goonje jo mere ghar
Aye Khuda, aye Khuda jab bana uska hi bana
Aye Khuda, aye Khuda jab bana uska hi bana

Mere hisse ki khushi ko, hansi ko
Tu chaahe aadha kar
Chahe lele tu meri zindagi
Par yeh mujhse vaada kar
Uske ashkon pe, ghamon pe, dukhon pe
Har uske zakhm par
Haq mera hi rahe har jagah har ghadi
Haan umra bhar
Ab faqat ho yehi wo rahe mujhmein hi
Wo juda kehne ko bichde na par kabhi
Aye Khuda, aye Khuda jab bana uska hi bana
Aye Khuda, aye Khuda jab bana uska hi bana

Meri qismat ke har ek panne pe
Mere jeete jee, baad marne ke
Mere har ek kal, har ek lamhe mein
Tu likh de mera use
Aye khuda, aye Khuda, aye Khuda
Aye Khuda, aye Khuda
"
4,1920 - Evil Returns ,2012,Jaavedaan Hai,Kay Kay,Chirantan Bhatt,Shakeel Azmi,"Karta hu tujh mein din guzar main
Karta hu tujh mein shab basar
Karta hu tujh mein hi sehar main
Jeeta hu tujhko dekhkar
Dil tere bin thehra sa hai
Tu dhadkanon ka hai safar
Kaaton bhara har raasta
Phoolon ki hai tu rehguzar

Jaavedaan hai ishq tujhse
Jaavedaan hai jaan-o-dil ke
Darmiyan hai, darmiyan tu haan
Jaavedaan hai ishq tujhse
Jaavedaan hai tujhmein hi dil
Udd raha hai aasman tu haan

Saath tera jabse hai mujhko mila
Waqt ki shaakho pe har pal khila
Zindagi se ab nahin koyi gila
Jitna hai tu, utna hu main
Na kuch zyaada, na hu kam
Tujhse shuru hota hu main
Hota hu tujhpe hi khatam

Jaavedaan hai ishq tujhse
Jaavedaan hai jaan-o-dil ke
Darmiyan hai, darmiyan tu haan
Jaavedaan hai ishq tujhse
Jaavedaan hai tujhmein hi dil
Udd raha hai aasman tu haan

Maine tujhko is tarah se hai jiya
Aandhiyon mein jaise jalta hai dia
Ishq se har faasle ko tai kiya
Jo the judaa humse khafa
Lamhe wo saare kat gaye
Tum mil gaye banke subah
Jo the andhere hat gaye

Jaavedaan hai ishq tujhse
Jaavedaan hai jaan-o-dil ke
Darmiyan hai, darmiyan tu haan
Jaavedaan hai ishq tujhse
Jaavedaan hai tujhmein hi dil
Udd raha hai aasman tu haan
"
5,1920 - Evil Returns ,2012,Khud Ko Tere,Mahalakshmi Iyer,Chirantan Bhatt,Shakeel Azmi,"Tum bhi tanha the
Hum bhi tanha the
Milke rone lage

Tum bhi tanha the
Hum bhi tanha the
Milke rone lage
Ek jaise the dono ke gham
Dawaa hone lage
Tujhmein muskurate hain
Tujhmein gungunaate hain
Khud ko tere paas hi
Chhod aate hain
Tere hi khyaalon mein
Doobe-doobe jaate hain
Khud ko tere paas hi
Chhod aate hain

Thode bhare hain hum
Thode se khaali hain
Tum bhi ho uljhe se
Hum bhi sawaali hain
Kuchh tum bhi kore ho
Kuchh hum bhi saare hain
Ek aasman par hum
Do chaand aadhe hain
Kam hai zameen bhi thodi
Kam asmaan hai
Lagta adhoora
Tum bin har jahan hai

Apni har kami mein hum
Ab tujhe hi paate hain
Khud ko tere pass hi
Chhod aate hain
Jitni bhi viraani hai
Tujhse hi sajaate hain
Khud ko tere paas hi
Chhod aate hain

Do raaz milte hain
Humraaz bante hain
Sannate aise hi
Aawaaz bante hain
Khamoshi mein teri
Meri sadaayein hain
Meri hatheli mein
Teri duayein hain
Ek saath tera ho to
Sau manzile hon
Tanhai teri
Meri mehfilein hon

Hum teri nigahon se
Khud mein jhilmilate hain
Khud ko tere paas hi
Chhod aate hain
Tujhse apni raaton ko
Subah hum banaate hain
Khud ko tere paas hi
Chhod aate hain
"
6,1920 - Evil Returns ,2012,Majboor Tu Bhi Kahin,Amit Mishra,Chirantan Bhatt,Shakeel Azmi,"Kehta hai, hai zindagi tu
Kyun mujh mein phir milta nahi
Deta hai aisa safar kyun
Hain manzilein jinki nahi
Keh de khuda hai kaisa khuda tu
Jo bas mein tere kuch nahi
Haan koi to wajah hogi jo yoon
Hai Majboor tu bhi kahin

Jitna talashoon tu milta nahi
Yeh fitrat teri tu badalta nahi
Jitna talashoon tu milta nahi
Yeh fitrat teri tu badalta nahi
Tu bataa aisa kyun
Teri marzi chalata hai tu
Jeete jeev jalata hai tu

Ishq mein jeene na de tu
Aur marne bhi deta nahi
Kehta hai, hai humsafar hai tu
Phir saath kyun deta nahi
Kya hai khafa ya hai bewafa tu
Jo sunta meri kuch nahi
Haan koi to wajah hogi jo yoon
Hai majboor tu bhi kahin

Keh de khuda hai kaisa khuda tu
Jo bas mein tere kuch nahi
Haan koi to wajah hogi jo yoon
Hai majboor tu bhi kahin
"
7,1920 - Evil Returns ,2012,Apna Mujhe Tu Laga,Sonu Nigam,Chirantan Bhatt,Shakeel Azmi,"Anjaane ho tum jo, begane ho tum jo
Pehchaane lagte ho kyun
Tum ghehri neendon mein jab soye soye ho
To mujh mein jagte ho kyun
Jab tujhko pata hai dil muskurata hai
Kya tujh se hai waasta
Kya tujhmein dhoondhoon main
Kya tujhse chaahoon main
Kya kya hai tujhmein mera
Jaanu na main tujhmein mera hissa hai kya
Par ajnabi Apna mujhe tu laga
Jaanu na main tujhse mera rishta hai kya
Par ajnabi apna mujhe tu laga

Tujhse taalluk jo nahi kuch mera
Kyun tu lage hai apna sa
Dekhoon jo tujhko ek nazar jaaye bhar
Mujh mein hai mera jo khala
Zindagi mein khushi tere aane se hai
Warna jeene mein gham har bahaane se hai
Yeh alag baat hai hum mile aaj hain
Dil tujhe jaanta ek zamane se hai
Jaanu na main tujhmein mera hissa hai kya
Par ajnabi apna mujhe tu laga
Jaanu na main tujhse mera rishta hai kya
Par ajnabi apna mujhe tu laga

Aankhon ne aankhon se kahi dastaan
Tumko banake raajdaan
Baahon mein jannat aa gayi khushnuma
Tum jo hue ho meharbaan
Jism se jism ka yun taarruf hua
Ho gaye hum sanam rooh tak aashna
Ek zara jo chale do kadam saath mein
Mil gaya hai hamein zindagi ka pata
Jaanu na main tujhmein mera hissa hai kya
Par ajnabi apna mujhe tu laga
Jaanu na main tujhse mera rishta hai kya
Par ajnabi apna mujhe tu laga

Anjaane ho tum jo, begane ho tum jo
Pehchaane lagte ho kyun
Tum ghehri neendon mein jab soye soye ho
To mujh mein jagte ho kyun
Jab tujhko pata hai dil muskurata hai
Kya tujh se hai waasta
Kya tujhmein dhoondhoon main
Kya tujhse chaahoon main
Kya kya hai tujhmein mera
Jaanu na main tujhmein mera hissa hai kya
Par ajnabi apna mujhe tu laga
Jaanu na main tujhse mera rishta hai kya
Par ajnabi apna mujhe tu laga
"
8,1942 A Love Story ,1993,Yeh Safar Bahut Hai Kathin Magar,Shivaji Chattopadhyay,R. D. Burman,Javed Akhtar,"Dil na ummeed to nahi
Nakaam hi to hai
Lambi hai gham ki shaam
Magar shaam hi to hai

Yeh safar bahut hai kathin magar
Na udaas ho mere hamsafar
Yeh safar bahut hai kathin magar
Na udaas ho mere hamsafar
Na udaas ho mere hamsafar

Yeh sitam ki raat hai dhalne ko
Hai andhera gham ka pighalne ko
Yeh sitam ki raat hai dhalne ko
Hai andhera gham ka pighalne ko
Zara der is mein lage agar
Zara der is mein lage agar
Na udaas ho mere hamsafar

Yeh safar bahut hai kathin magar
Na udaas ho mere hamsafar

Nahi rehane wali ye mushkilein
Yeh hain agle mod pe manzilein
Nahi rehane wali ye mushkilein
Yeh hain agle mod pe manzilein
Meri baat ka tu yaken kar
Meri baat ka tu yaken kar
Na udaas ho mere hamsafar

Yeh safar bahut hai kathin magar
Na udaas ho mere hamsafar

Kabhi dhundh lega yeh kaarvan
Woh nayi zameen naya aasmaan
Kabhi dhundh lega yeh kaarvan
Woh nayi zameen naya aasmaan
Jise dhoondhati hai teri najar
Jise dhoondhati hai teri najar
Na udaas ho mere hamsafar

Yeh safar bahut hai kathin magar
Na udaas ho mere hamsafar
Na udaas ho mere hamsafar
"
9,1942 A Love Story ,1993,Rooth Na Jana,Kumar Sanu,R. D. Burman,Javed Akhtar,"Rooth na jana tum se kahoon to
Main in aankhon mein jo rahoon to
Rooth na jana tum se kahoon to
Main in aankhon mein jo rahoon to
Tum yeh jaano ya na jaano
Tum yeh maano ya na maano
Mere jaisa deewana tum paaoge nahi
Yaad karoge main jo na hoon to
Rooth na jana tum se kahoon to

Meri yeh deewanagi kabhi na hogi kam
Jitne bhi chahe tum kar lo sitam
Meri yeh deewanagi kabhi na hogi kam
Jitne bhi chahe tum kar lo sitam
Muh se bolo ya na bolo
Mujhko dekho ya na dekho
Yeh bhi mana mujhse milne aaoge nahi
Saare sitam hans ke main sahoon to
Rooth na jana tum se kahoon to

Prem ke dariya mein leharen hazar
Leharon mein jo bhi duba hua wohi paar
Prem ke dariya mein leharen hazar
Leharon mein jo bhi duba hua wohi paar
Oonchi-neechi, neechi-oonchi
Neechi-oonchi, oonchi-neechi
Leharon mein tum dekhoon kaise aaoge nahi
Main in leharon mein jo bahoon to
Rooth na jana tum se kahoon to

Tum yeh jaano ya na jaano
Tum yeh maano ya na maano
Mere jaisa deewana tum paaoge nahi
Yaad karoge main jo na hoon to
Rooth na jana tum se kahoon to
"
